Transaction_ID,Customer_ID,Date,Item_Name,Quantity,Unit_Price,Discount_Pct,Marketing_Spend,Total_Spend,Customer_Age,Customer_Income
T0068,C009,2023-11-02,Mouse,1,150000,15.5,99572.93,136535.15,44,35787904
T0069,C018,2023-05-04,Printer,4,1800000,23.79,51061.41,5491936.08,62,19327933
T0070,C010,2023-12-06,Webcam,3,300000,12.77,374238.04,828540.84,62,33450329
T0071,C009,2023-06-06,Mouse,2,150000,9.47,372726.13,3038981.03,62,15425195
T0072,C007,2023-04-21,Mouse,5,150000,29.3,264695.25,558466.45,24,16027010
T0073,C010,2023-04-27,Mouse,5,150000,3.8,27530.27,723176.74,36,49802888
T0074,C005,2023-11-23,Keyboard,5,350000,8.53,241963.53,1629310.86,21,19943537
T0075,C016,2023-02-28,Keyboard,5,350000,18.88,31536.49,1422117.86,54,23390056
T0076,C003,2023-05-08,Laptop,4,12000000,18.19,396416.71,39306514.07,51,28526737
T0077,C015,2023-08-15,Printer,3,1800000,17.06,34814.0,4487185.75,24,16944410
T0078,C007,2023-05-16,Mouse,2,150000,16.56,82483.64,261183.39,62,42849994
T0079,C016,2023-05-30,Laptop,3,12000000,21.21,352978.84,28414101.63,61,18664806
T0080,C009,2023-11-17,Monitor,4,2500000,3.44,116280.68,9665278.95,35,12545315
T0081,C003,2023-01-31,Laptop,3,12000000,17.85,412998.95,29670740.26,46,11345232
T0082,C015,2023-12-19,Headset,5,450000,16.2,221690.64,1923100.36,45,24630635
T0083,C020,2023-05-09,Laptop,2,12000000,28.86,418799.51,17142718.6,19,48116053
T0084,C009,2023-10-23,Laptop,2,12000000,14.12,327497.2,166482427.25,29,42280806
T0085,C014,2023-11-22,Printer,3,1800000,12.25,163923.84,4750125.47,28,25132749
T0086,C014,2023-12-22,Printer,5,1800000,1.1,48589.6,8905882.27,25,30123728
T0087,C017,2023-01-01,Printer,1,1800000,5.63,184080.78,1735713.37,58,32664866
T0088,C002,2023-04-15,Mouse,3,150000,13.14,350633.76,416916.9,58,43860685
T0089,C008,2023-12-30,Laptop,5,12000000,0.41,206955.39,59773648.37,25,33967243
T0090,C004,2023-11-28,USB Drive,3,120000,15.27,140345.32,335475.19,48,19356504
T0091,C015,2023-10-10,Laptop,2,12000000,27.66,256579.24,17419552.33,22,21538649
T0092,C014,2023-06-24,Keyboard,3,350000,21.78,419550.58,890948.97,60,35859207
T0093,C005,2023-08-17,Mouse,5,150000,22.89,191718.98,623680.05,30,49808327
T0094,C008,2023-10-20,Printer,1,1800000,9.55,239123.24,1683740.64,42,28909306
T0095,C005,2023-09-11,Mouse,5,150000,9.96,54680.48,687275.46,24,38295979
T0096,C015,2023-01-08,USB Drive,2,120000,2.24,391855.02,274986.85,57,49486618
T0097,C013,2023-11-29,Laptop,3,12000000,25.57,430374.38,26849027.98,38,45063780
T0098,C016,2023-10-05,Laptop,1,12000000,7.04,343777.79,11192147.79,32,9065254
T0099,C014,2023-02-20,Keyboard,4,350000,4.99,153235.71,1338688.94,38,6766097
T0100,C010,2023-07-03,Mouse,5,150000,12.36,342491.18,686758.14,29,8299476
